Chapel of the Holy Cross	holycross			780 Chapel Rd, 86336		https://www.google.com/maps/dir/Current+Location/34.832087,-111.766699	
Sedona Menorah	menora			100 Meadowlark Dr, 86336		https://www.google.com/maps/dir/Current+Location/34.831142,-111.776817	
Sedona United Methodist Church	methodist			110 Indian Cliffs Rd		https://www.google.com/maps/dir/Current+Location/34.826201,-111.777625	
Water Made a Difference	difference			Chavez Crossing Rd, 86336		https://www.google.com/maps/dir/Current+Location/34.825707,-111.803811	
Surviving From Plants	surviving		Yavapai Vista, near restroom	Yavapai Trail, 86351		https://www.google.com/maps/dir/Current+Location/34.807323,-111.769884	
Courthouse Vista	courthouse		Scenic outlook on E side of AZ-179	Bell Rock Access Trail, 86336		https://www.google.com/maps/dir/Current+Location/34.805725,-111.766317	
Upper Bell Rock Trail	upperbell			Bell Rock Trail, 86351		https://www.google.com/maps/dir/Current+Location/34.802538,-111.764365	
Bell Rock Pathway	bellrock1		Bell Rock Vista Trailhead	55 Bell Rock Trail, 86336	2 gyms near each other	https://www.google.com/maps/dir/Current+Location/34.791456,-111.761549	
Bell Rock Path	bellrock2		Bell Rock Vista Trailhead	55 Bell Rock Trail, 86336	2 gyms near each other	https://www.google.com/maps/dir/Current+Location/34.79143,-111.760811	
Sedona Spiral Windmills	spiral		Holiday Inn Express	6176 AZ-179, 86351		https://www.google.com/maps/dir/Current+Location/34.786834,-111.763504	
Weeping Woman Fountain	weeping			6052 AZ-179, 86351		https://www.google.com/maps/dir/Current+Location/34.786087,-111.763543	
US Post Office	usps			45 W Cortez Dr, 86351		https://www.google.com/maps/dir/Current+Location/34.779677,-111.764145	
Wise Owl Statue	wiseowl		Sedona Winds	475 Jacks Canyon Rd, 86351		https://www.google.com/maps/dir/Current+Location/34.77943,-111.756239	
Indian Guide	guide		The Collective Sedona	7000 AZ-179, 86351		https://www.google.com/maps/dir/Current+Location/34.774468,-111.763954	
Red Rock Ranger Station	ranger			8375 AZ-179, 86351		https://www.google.com/maps/dir/Current+Location/34.757644,-111.764499	
